Threads,Time
1,12.0
2,8.0
3,10.0
4,10.25
5,10.0
6,11.666666666666666
7,11.857142857142858
8,11.125
9,13.333333333333334
10,11.0
11,14.454545454545455
12,12.75
13,20.923076923076923
14,10.571428571428571
15,12.266666666666667
16,12.4375
17,11.823529411764707
18,11.166666666666666
19,12.157894736842104
20,11.0
21,11.571428571428571
22,13.318181818181818
23,15.0
24,14.875
25,15.0
26,14.23076923076923
27,14.481481481481481
28,17.428571428571427
29,19.137931034482758
30,33.266666666666666
31,12.451612903225806
32,17.09375
33,13.909090909090908
34,12.764705882352942
35,18.62857142857143
36,29.25
37,17.135135135135137
38,14.736842105263158
39,14.564102564102564
40,15.9
41,20.951219512195124
42,22.38095238095238
43,24.767441860465116
44,23.272727272727273
45,55.46666666666667
46,15.347826086956522
47,43.723404255319146
48,23.479166666666668
49,38.93877551020408
50,22.14
51,29.92156862745098
52,23.71153846153846
53,28.660377358490567
54,28.37037037037037
55,25.836363636363636
56,21.964285714285715
57,35.63157894736842
58,27.24137931034483
59,29.54237288135593
60,34.88333333333333
61,18.19672131147541
62,16.612903225806452
63,16.317460317460316
64,17.78125
65,16.476923076923075
66,21.40909090909091
67,25.029850746268657
68,20.955882352941178
69,32.98550724637681
70,52.81428571428572
71,30.464788732394368
72,36.72222222222222
73,32.21917808219178
74,36.108108108108105
75,23.893333333333334
76,28.789473684210527
77,25.974025974025974
78,23.333333333333332
79,27.620253164556964
80,30.4875
81,47.641975308641975
82,33.170731707317074
83,38.036144578313255
84,46.42857142857143
85,44.38823529411765
86,50.72093023255814
87,40.195402298850574
88,34.23863636363637
89,35.03370786516854
90,54.477777777777774
91,40.16483516483517
92,22.369565217391305
93,23.892473118279568
94,38.4468085106383
95,55.03157894736842
96,25.802083333333332
97,25.95876288659794
98,52.91836734693877
99,54.80808080808081
100,46.69
101,41.01980198019802
102,44.245098039215684
103,45.75728155339806
104,67.23076923076923
105,40.67619047619048
106,44.64150943396226
107,41.41121495327103
108,39.175925925925924
109,45.25688073394495
110,41.39090909090909
111,41.450450450450454
112,42.714285714285715
113,23.035398230088497
114,25.087719298245613
115,31.469565217391306
116,27.887931034482758
117,65.26495726495726
118,30.194915254237287
119,25.81512605042017
120,26.191666666666666
